Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
18,13,12,11,16,21,26,31,32,33,28,29,34,39,37,38,43,44,49,48,47,46,40,35,30,25,20,15,10,5,6,17,22,27,23,24,19,14,9,8,2,1,0,7,3,4,42,41,36,45
7,2,8,3,4,9,14,13,18,22,23,29,28,27,26,21,16,11,10,15,20,25,30,40,41,35,36,31,32,37,42,43,44,49,48,47,46,45,33,38,39,34,24,19,17,6,1,0,5,12
39,34,44,49,43,38,33,28,32,31,36,42,41,40,35,30,25,26,21,16,11,12,7,8,17,20,15,22,27,23,24,29,19,14,9,4,3,2,1,0,6,5,10,18,13,48,47,46,45,37
3,8,13,9,14,19,18,23,28,29,34,39,38,43,44,49,48,47,42,37,36,41,45,46,40,35,30,31,32,27,17,12,7,2,1,6,11,16,15,20,21,26,25,22,5,0,10,24,4,33
17,11,16,21,32,37,42,41,46,45,40,35,30,31,26,27,36,25,20,10,15,6,12,7,8,13,14,2,1,5,0,3,4,9,28,33,34,29,24,19,18,23,22,39,38,43,48,47,49,44
8,3,2,5,7,6,11,13,14,19,24,23,22,17,18,16,12,10,15,25,20,21,26,27,28,29,34,33,38,37,32,31,30,36,35,40,45,46,47,48,43,44,39,49,42,41,1,0,4,9
12,17,22,19,18,13,8,7,6,5,0,1,2,3,4,9,14,24,29,34,33,28,27,37,32,26,21,20,16,11,10,15,25,30,35,40,41,42,47,46,45,31,36,43,48,49,38,39,44,23
45,40,35,30,31,26,27,22,17,12,7,9,8,13,18,23,28,38,39,34,29,49,44,43,47,48,42,37,33,32,36,41,46,21,10,5,6,11,16,15,1,2,3,4,14,19,24,20,25,0
43,49,48,47,42,41,35,40,45,46,37,38,39,44,34,33,36,31,32,27,23,18,17,16,15,20,25,30,22,21,26,28,29,24,19,14,9,7,12,6,5,0,1,2,3,8,4,13,10,11
40,35,36,30,25,20,16,17,22,27,26,21,23,28,29,19,14,13,18,24,34,39,44,43,42,37,32,33,38,46,47,41,45,48,49,31,12,11,6,7,8,9,4,3,2,1,0,5,10,15
7,12,13,31,32,27,26,21,22,17,18,19,14,9,8,3,1,2,16,20,25,30,36,40,41,46,47,48,43,44,49,38,37,42,45,35,23,24,29,28,33,34,39,15,10,11,6,5,0,4
19,14,4,3,2,7,13,18,17,16,21,33,28,27,32,23,24,22,26,25,20,15,10,5,0,6,1,8,9,44,43,42,37,36,41,40,35,30,31,11,12,29,34,39,49,48,47,46,45,38
13,12,11,6,0,5,10,20,15,16,21,27,26,32,31,35,36,41,43,48,47,42,37,38,39,45,40,46,30,25,17,22,28,23,29,34,33,9,14,19,18,8,3,4,2,7,1,24,49,44
15,16,21,26,22,25,30,24,29,39,44,49,48,47,46,45,40,35,36,37,42,41,43,38,32,33,34,28,23,18,17,7,13,8,3,2,6,12,11,10,5,0,1,20,19,14,9,4,27,31
48,43,42,37,38,39,44,49,36,31,30,25,20,15,10,5,0,1,12,7,2,6,11,16,21,26,27,32,33,34,28,22,17,18,23,24,19,14,13,8,3,4,9,29,41,46,47,40,45,35
12,7,13,14,9,4,3,2,1,0,5,10,11,17,22,21,20,15,16,28,29,34,33,25,26,27,32,31,30,35,36,37,44,49,48,47,42,43,38,39,40,46,45,41,18,19,24,23,6,8
6,1,3,4,9,14,13,18,19,24,29,34,27,26,20,15,10,5,0,2,7,8,12,11,17,16,21,22,23,28,44,47,41,42,37,32,33,38,43,49,48,46,45,40,35,30,31,36,25,39
