Map,Cluster,Algorithm,Run,Distance,Elevation,Turning
Map1,3,GA,8,2438.935904550522,0.6640258030157788,65.59962469119775
Map1,4,GA,8,2368.3544251744015,0.7840643913898546,66.4022416342701
Map1,5,GA,8,1776.394869373317,0.5028175505922814,59.595979092423406
Map1,6,GA,8,2280.4752090278525,0.5105434366499395,78.14025313448582
Map1,7,GA,8,1837.017280942946,0.44505375303436345,49.67400681428607
Map1,8,GA,8,1587.4269568306252,0.697849274948533,51.39687313918603
Map1,9,GA,8,2073.549749875466,1.5614201432463641,57.61325236010797
Map1,10,GA,8,1724.6981151269044,1.2432020746372956,49.45172547474946
Map1,11,GA,8,2207.9401122689906,0.3564786998579166,58.261778903506844
Map1,12,GA,8,2354.8059170981473,0.6491059856258143,67.1734361803047
Map1,13,GA,8,2596.776159196035,0.7145049753816792,72.73609047118515
Map1,14,GA,8,2137.135155091127,0.5310595235495583,71.92898265521929
Map1,15,GA,8,2587.4140206049874,0.7886492107083907,70.10904692786184
Map1,1,GA,9,1987.9937914931575,0.6262737855560996,51.02824711445569
Map1,2,GA,9,1856.5130704297214,0.5169961921536217,62.46812241070883
Map1,3,GA,9,2351.976856539415,0.5787532976065677,64.97999495386097
Map1,4,GA,9,2460.8886919804163,0.8305516723086832,73.87771322326623
Map1,5,GA,9,2152.651470496642,0.5552842671445202,53.86650590825895
Map1,6,GA,9,2292.650134855023,0.5472626984573097,62.88275842071768
Map1,7,GA,9,1736.0543176301408,0.40096361697195526,54.80181921398234
Map1,8,GA,9,1565.2284308435346,0.6843063025118408,48.16236691507933
Map1,9,GA,9,2056.7206233597794,1.4453734551395616,59.26441320961688
Map1,10,GA,9,1538.4448839613506,1.0568645874049238,41.0507246830651
Map1,11,GA,9,2272.9614418988317,0.4511183570355968,63.32122161845151
Map1,12,GA,9,2281.047654248248,0.6061135762031089,61.02238354072713
Map1,13,GA,9,2486.871005516579,0.6184207685422294,79.3922837040306
Map1,14,GA,9,1970.4935264185672,0.4978039952218083,59.66456876761649
Map1,15,GA,9,2585.378709962548,0.7384049239294743,68.9302860345498
Map1,1,GA,10,2105.9449165713036,0.6033595237624869,59.20679304110135
Map1,2,GA,10,2078.5189516663463,0.39447367829560953,56.45159106129798
Map1,3,GA,10,2010.9259920158306,0.572669236970011,84.137699745051
Map1,4,GA,10,2076.392053036932,0.6233747469944859,75.6856000134281
Map1,5,GA,10,1955.1288874385018,0.543697414532053,57.391253543988306
Map1,6,GA,10,2322.8915936770636,0.5742629008025197,82.78825312747269
Map1,7,GA,10,1736.7060211850758,0.43942454548875,60.940170007445566
Map1,8,GA,10,1578.7826285502977,0.6034014018443816,51.55785030072435
Map1,9,GA,10,1973.3782425221348,1.310345526443081,61.07141134088316
Map1,10,GA,10,1434.7480921447354,0.8289436485988304,48.5467410926814
Map1,11,GA,10,2248.4312448725013,0.4472904696407234,66.15855108058665
